iter	RMSE
0	97771.54612
1	97728.78378
2	97679.0389
3	97634.93572
4	97588.9445
5	97545.14338
6	97497.30308
7	97462.22809
8	97413.51421
9	97365.72933
10	97324.04851
11	97273.63679
12	97242.10577
13	97193.32742
14	97145.84857
15	97106.94672
16	97049.22234
17	97027.7727
18	96998.3225
19	96959.76881
20	96921.88749
21	96877.92393
22	96843.9508
23	96802.2351
24	96769.21786
25	96714.85827
26	96673.23255
27	96623.41824
28	96582.70936
29	96555.03331
30	96521.7696
31	96503.25319
32	96467.31955
33	96429.02092
34	96379.33536
35	96351.41259
36	96310.07678
37	96274.16211
38	96246.60183
39	96209.14139
40	96168.42061
41	96128.5608
42	96105.9844
43	96076.31056
44	96033.06313
45	95980.00475
46	95945.89769
47	95898.47286
48	95859.72027
49	95835.84864
50	95795.74092
51	95749.47771
52	95700.35456
53	95659.17735
54	95625.12145
55	95594.67114
56	95564.03805
57	95523.14363
58	95494.04759
59	95463.95989
60	95415.52908
61	95381.36293
62	95356.33631
63	95315.20518
64	95271.59422
65	95248.35072
66	95209.79902
67	95183.47459
68	95147.61563
69	95116.1496
70	95068.09334
71	95033.11439
72	94991.2504
73	94959.66362
74	94915.87142
75	94872.01545
76	94850.33617
77	94815.80361
78	94796.62115
79	94761.99643
80	94736.2641
81	94704.00244
82	94661.38597
83	94627.67501
84	94596.89197
85	94557.83586
86	94528.60717
87	94504.13791
88	94462.90885
89	94418.8926
90	94373.58708
91	94341.51107
92	94310.20421
93	94287.57942
94	94245.38623
95	94216.0791
96	94184.24178
97	94137.47829
98	94097.12945
99	94078.59242
100	94052.08207
101	94033.5834
102	93996.22311
103	93960.632
104	93930.08943
105	93887.08371
106	93849.94439
107	93810.39786
108	93783.36842
109	93757.13926
110	93725.09148
111	93698.32546
112	93657.84947
113	93616.11037
114	93587.49393
115	93568.71143
116	93540.46609
117	93508.17734
118	93479.65379
119	93436.65492
120	93401.22959
121	93365.10056
122	93340.035
123	93297.40062
124	93258.6057
125	93224.78486
126	93186.71846
127	93157.56896
128	93123.10122
129	93094.50904
130	93046.57684
131	93001.09261
132	92971.81161
133	92959.97265
134	92941.42747
135	92907.37551
136	92865.47378
137	92810.60273
138	92767.37352
139	92733.53583
140	92701.76402
141	92684.21802
142	92654.76317
143	92622.09416
144	92590.25723
145	92546.18423
146	92507.60317
147	92475.3779
148	92434.98627
149	92414.53245
150	92389.01248
151	92342.24167
152	92286.54054
153	92264.92399
154	92233.03031
155	92208.63155
156	92171.09067
157	92136.86221
158	92112.76502
159	92062.33136
160	92022.43784
161	91985.40795
162	91956.01417
163	91927.86553
164	91899.65768
165	91879.27644
166	91838.82684
167	91812.72804
168	91790.10405
169	91760.20771
170	91735.56166
171	91683.43309
172	91652.84913
173	91614.21659
174	91587.79858
175	91551.62925
176	91499.20828
177	91470.15566
178	91433.43255
179	91392.79019
180	91362.68576
181	91328.55944
182	91308.88535
183	91266.04688
184	91238.37985
185	91197.59023
186	91165.03416
187	91143.39126
188	91101.94984
189	91058.2326
190	91023.11128
191	90978.39765
192	90937.1963
193	90900.19464
194	90865.44132
195	90822.01356
196	90786.93234
197	90753.52628
198	90713.70166
199	90679.87641
200	90644.78127
201	90595.8986
202	90548.35791
203	90511.16271
204	90484.07156
205	90419.41501
206	90363.72837
207	90332.35721
208	90281.25381
209	90243.69358
210	90219.34298
211	90177.29067
212	90135.03073
213	90092.90505
214	90063.96191
215	90026.28533
216	89997.3432
217	89945.45821
218	89910.22446
219	89864.93126
220	89843.42395
221	89816.81097
222	89779.57982
223	89751.66744
224	89726.29066
225	89687.91401
226	89635.01194
227	89580.06356
228	89532.98796
229	89478.00552
230	89420.63377
231	89387.93501
232	89358.67193
233	89330.09431
234	89284.57176
235	89243.82495
236	89204.12537
237	89160.49961
238	89124.86246
239	89095.02489
240	89066.39827
241	89038.72974
242	88999.48158
243	88963.98201
244	88931.38331
245	88895.1321
246	88867.49118
247	88819.39579
248	88780.00543
249	88738.71379
250	88705.87236
251	88673.4984
252	88629.79011
253	88588.96563
254	88546.1169
255	88515.5149
256	88480.80514
257	88443.41428
258	88416.54029
259	88387.9571
260	88356.36284
261	88312.43301
262	88256.94075
263	88209.09691
264	88173.99243
265	88142.98479
266	88099.07083
267	88066.60514
268	88023.29659
269	87997.56275
270	87956.57947
271	87910.54862
272	87869.06184
273	87846.93697
274	87790.71356
275	87754.50681
276	87706.52478
277	87669.63087
278	87641.5149
279	87608.15945
280	87569.04063
281	87532.59149
282	87499.8216
283	87444.21403
284	87423.00218
285	87386.7522
286	87341.03251
287	87292.48032
288	87260.49353
289	87234.92959
290	87212.26839
291	87186.12627
292	87155.05849
293	87121.7772
294	87083.08682
295	87039.77513
296	86987.8041
297	86953.94397
298	86923.38864
299	86891.57121
300	86864.52668
301	86817.8693
302	86787.26696
303	86754.16243
304	86704.14367
305	86666.45026
306	86643.96342
307	86618.04489
308	86575.90581
309	86538.44411
310	86504.13274
311	86463.16086
312	86437.18325
313	86398.14852
314	86354.33284
315	86315.24835
316	86280.52325
317	86255.38979
318	86222.63467
319	86183.0899
320	86150.26784
321	86108.46932
322	86072.84279
323	86038.75901
324	85994.61737
325	85962.33713
326	85923.00693
327	85889.43502
328	85858.24857
329	85820.76565
330	85792.30943
331	85747.40176
332	85704.38058
333	85672.53036
334	85642.86137
335	85601.184
336	85569.10176
337	85528.54002
338	85493.96623
339	85460.78971
340	85419.60652
341	85396.65517
342	85358.2204
343	85332.60872
344	85287.38766
345	85246.88717
346	85215.64837
347	85180.41393
348	85152.24508
349	85125.90764
350	85100.37457
351	85062.29723
352	85038.97615
353	85007.62233
354	84975.22118
355	84919.76968
356	84884.41944
357	84855.14774
358	84821.82263
359	84774.31588
360	84728.15274
361	84704.25545
362	84658.13904
363	84623.58388
364	84586.36186
365	84561.66838
366	84521.28453
367	84489.33695
368	84469.62246
369	84445.44191
370	84415.51128
371	84372.66242
372	84345.71708
373	84308.58029
374	84277.63196
375	84258.15956
376	84233.77457
377	84201.82426
378	84167.44189
379	84121.44024
380	84074.14825
381	84032.86353
382	83993.64533
383	83962.17399
384	83933.04929
385	83891.02825
386	83866.52527
387	83834.1201
388	83804.51781
389	83783.27264
390	83755.19209
391	83731.24906
392	83698.25683
393	83670.23453
394	83644.02735
395	83618.30032
396	83581.10604
397	83552.42152
398	83513.78356
399	83489.3598
400	83463.44468
401	83434.44148
402	83395.61821
403	83367.69047
404	83346.63548
405	83310.97024
406	83285.11717
407	83251.64656
408	83220.7139
409	83175.04263
410	83131.13865
411	83106.0869
412	83061.80463
413	83019.1495
414	82991.58277
415	82946.00738
416	82925.4864
417	82884.70082
418	82848.2115
419	82808.30978
420	82769.95546
421	82740.3722
422	82709.76988
423	82690.53126
424	82652.80102
425	82620.28527
426	82598.04174
427	82557.60518
428	82523.42824
429	82495.90388
430	82445.60559
431	82406.57398
432	82366.06241
433	82326.47245
434	82290.27952
435	82249.42334
436	82217.57555
437	82181.80196
438	82148.3968
439	82120.08125
440	82087.70132
441	82072.3253
442	82049.8221
443	82009.14948
444	81970.84131
445	81939.97192
446	81913.99678
447	81887.7855
448	81851.32917
449	81830.31443
450	81802.75521
451	81755.68577
452	81733.36634
453	81698.25777
454	81663.55755
455	81642.48896
456	81606.19333
457	81582.30331
458	81549.30919
459	81502.13104
460	81480.2065
461	81450.47128
462	81423.44137
463	81378.86837
464	81335.22279
465	81296.30762
466	81269.00832
467	81245.42565
468	81208.19578
469	81186.52265
470	81148.94216
471	81104.20068
472	81074.34498
473	81049.23568
474	81018.39824
475	80987.0246
476	80946.32296
477	80898.41831
478	80867.43917
479	80836.8817
480	80805.02972
481	80775.38839
482	80725.50052
483	80686.19062
484	80652.85006
485	80614.02489
486	80587.46146
487	80556.89243
488	80526.65035
489	80498.54143
490	80464.90435
491	80432.50735
492	80390.26809
493	80352.76407
494	80308.08683
495	80280.70607
496	80238.57543
497	80210.17032
498	80178.08922
499	80151.41945
500	80129.60231
501	80099.00435
502	80059.92063
503	80031.60017
504	80001.24414
505	79978.99184
506	79950.73176
507	79917.03492
508	79879.00224
509	79847.76338
510	79813.20928
511	79786.95403
512	79751.70449
513	79727.20404
514	79694.5758
515	79662.83233
516	79637.65961
517	79600.01468
518	79584.00088
519	79549.23675
520	79502.32988
521	79476.5919
522	79459.41551
523	79419.15491
524	79385.68604
525	79354.73966
526	79313.2574
527	79286.93504
528	79254.50446
529	79218.05005
530	79172.23558
531	79152.56783
532	79140.5968
533	79105.54827
534	79067.93904
535	79042.79597
536	78999.91924
537	78974.31148
538	78940.60582
539	78917.93802
540	78888.05183
541	78854.44728
542	78819.06028
543	78783.18249
544	78765.33912
545	78739.84845
546	78713.47712
547	78688.86131
548	78645.72993
549	78624.17576
550	78602.56273
551	78562.32841
552	78529.85522
553	78502.4684
554	78483.03056
555	78448.59331
556	78409.2025
557	78379.87372
558	78350.77212
559	78312.95198
560	78284.6955
561	78264.0062
562	78228.59985
563	78201.93469
564	78178.76461
565	78134.88449
566	78111.30476
567	78095.54699
568	78072.23074
569	78044.0329
570	78028.18629
571	77993.10481
572	77969.6168
573	77943.88873
574	77914.6361
575	77886.20006
576	77855.01868
577	77814.35225
578	77785.81086
579	77741.06363
580	77722.98171
581	77679.20856
582	77654.43611
583	77640.15624
584	77616.94634
585	77589.32297
586	77563.9259
587	77551.94579
588	77518.96536
589	77477.9201
590	77442.84759
591	77407.87515
592	77369.11666
593	77328.02887
594	77294.92001
595	77269.14974
596	77236.76204
597	77194.46606
598	77163.18896
599	77137.49457
600	77098.5576
601	77071.06617
602	77043.71558
603	77029.50799
604	77001.46743
605	76973.98488
606	76927.99456
607	76907.08912
608	76875.5161
609	76851.69774
610	76832.44995
611	76818.00697
612	76798.4118
613	76776.07755
614	76756.33882
615	76739.00346
616	76712.86892
617	76671.27887
618	76632.08054
619	76605.9557
620	76584.21048
621	76537.16202
622	76513.59223
623	76483.89786
624	76456.73865
625	76427.85151
626	76394.8142
627	76374.28864
628	76344.29212
629	76309.28251
630	76277.65555
631	76243.7058
632	76210.89738
633	76186.92764
634	76147.62106
635	76121.93166
636	76078.30716
637	76047.48131
638	76014.82299
639	75985.42999
640	75960.53074
641	75928.95349
642	75896.94453
643	75859.89103
644	75827.41921
645	75798.42211
646	75785.58328
647	75750.66718
648	75729.91743
649	75710.20315
650	75689.09519
651	75662.10457
652	75649.22528
653	75613.63372
654	75577.04631
655	75551.39982
656	75529.90728
657	75505.59304
658	75483.42495
659	75450.72834
660	75427.40888
661	75387.17484
662	75364.50815
663	75339.08153
664	75309.56178
665	75293.25497
666	75265.87045
667	75240.13175
668	75202.62882
669	75168.0911
670	75143.28648
671	75119.36614
672	75096.84423
673	75077.87842
674	75036.51417
675	75010.07974
676	74976.55287
677	74947.82151
678	74920.21451
679	74889.17196
680	74873.15209
681	74847.22759
682	74813.42408
683	74795.00872
684	74767.42118
685	74745.21814
686	74715.5463
687	74689.76117
688	74655.62593
689	74629.16938
690	74600.13073
691	74586.63748
692	74567.45375
693	74540.70282
694	74518.00977
695	74496.75817
696	74462.64979
697	74430.19151
698	74393.54927
699	74366.60935
700	74339.65771
701	74324.34543
702	74297.06586
703	74264.35216
704	74250.31457
705	74223.61622
