iter	Passed	Remaining
0	192	192800
1	204	101911
2	215	71640
3	226	56310
4	238	47434
5	248	41198
6	259	36872
7	270	33591
8	281	31017
9	292	28920
10	303	27294
11	314	25882
12	325	24697
13	336	23695
14	346	22742
15	356	21931
16	366	21182
17	377	20600
18	387	19996
19	396	19413
20	404	18856
21	413	18377
22	421	17922
23	430	17495
24	437	17074
25	445	16684
26	453	16334
27	460	16000
28	468	15687
29	475	15383
30	483	15107
31	490	14835
32	498	14598
33	505	14370
34	513	14153
35	520	13947
36	528	13754
37	536	13575
38	543	13400
39	551	13229
40	558	13072
41	568	12973
42	577	12842
43	585	12714
44	593	12586
45	601	12477
46	609	12362
47	617	12255
48	625	12149
49	635	12065
50	643	11965
51	651	11870
52	658	11772
53	666	11681
54	674	11582
55	681	11491
56	689	11399
57	696	11311
58	703	11226
59	711	11144
60	719	11067
61	726	10991
62	734	10919
63	741	10846
64	752	10819
65	759	10754
66	767	10689
67	775	10623
68	784	10579
69	791	10518
70	799	10459
71	806	10399
72	814	10346
73	822	10289
74	832	10262
75	843	10249
76	853	10228
77	864	10213
78	874	10195
79	885	10181
80	895	10163
81	906	10150
82	918	10142
83	929	10135
84	942	10145
85	954	10140
86	965	10132
87	976	10115
88	984	10082
89	992	10037
90	1000	9991
91	1008	9950
92	1015	9903
93	1023	9866
94	1031	9829
95	1039	9788
96	1046	9745
97	1054	9706
98	1062	9665
99	1069	9623
100	1076	9581
101	1084	9543
102	1091	9507
103	1099	9472
104	1106	9435
105	1114	9399
106	1124	9387
107	1133	9360
108	1140	9325
109	1148	9290
110	1155	9256
111	1163	9223
112	1171	9193
113	1178	9160
114	1186	9129
115	1193	9097
116	1201	9067
117	1209	9037
118	1216	9008
119	1224	8979
120	1233	8962
121	1241	8932
122	1248	8901
123	1255	8872
124	1263	8843
125	1270	8813
126	1277	8783
127	1285	8754
128	1292	8728
129	1300	8700
130	1307	8674
131	1317	8663
132	1325	8637
133	1332	8610
134	1339	8583
135	1347	8557
136	1354	8534
137	1362	8512
138	1370	8488
139	1377	8463
140	1385	8439
141	1392	8416
142	1403	8411
143	1412	8397
144	1423	8391
145	1431	8372
146	1439	8350
147	1447	8334
148	1455	8312
149	1462	8287
150	1470	8266
151	1477	8245
152	1485	8222
153	1492	8199
154	1500	8178
155	1509	8165
156	1516	8144
157	1524	8122
158	1534	8113
159	1541	8093
160	1548	8072
161	1556	8053
162	1565	8036
163	1573	8018
164	1580	7998
165	1588	7982
166	1596	7963
167	1604	7948
168	1612	7928
169	1620	7911
170	1627	7891
171	1635	7872
172	1642	7853
173	1650	7834
174	1657	7816
175	1665	7798
176	1673	7781
177	1682	7771
178	1691	7757
179	1699	7740
180	1706	7722
181	1714	7704
182	1721	7685
183	1728	7667
184	1736	7649
185	1743	7631
186	1751	7614
187	1758	7594
188	1766	7580
189	1775	7569
190	1783	7553
191	1790	7537
192	1798	7520
193	1805	7502
194	1813	7486
195	1821	7470
196	1828	7452
197	1835	7436
198	1843	7419
199	1850	7402
200	1858	7385
201	1867	7378
202	1875	7364
203	1883	7350
204	1892	7340
205	1901	7327
206	1909	7314
207	1916	7299
208	1924	7284
209	1935	7279
210	1943	7265
211	1951	7252
212	1959	7239
213	1967	7228
214	1975	7214
215	1983	7201
216	1991	7187
217	1999	7174
218	2008	7162
219	2016	7149
220	2024	7134
221	2031	7121
222	2039	7106
223	2047	7092
224	2055	7078
225	2064	7072
226	2073	7059
227	2080	7045
228	2088	7030
229	2096	7020
230	2104	7006
231	2113	6997
232	2121	6983
233	2129	6970
234	2137	6957
235	2145	6945
236	2153	6932
237	2161	6920
238	2169	6907
239	2177	6894
240	2184	6881
241	2192	6868
242	2200	6856
243	2208	6844
244	2217	6832
245	2225	6820
246	2232	6806
247	2240	6794
248	2249	6783
249	2258	6776
250	2267	6765
251	2275	6753
252	2283	6741
253	2291	6728
254	2298	6716
255	2306	6704
256	2314	6692
257	2323	6683
258	2332	6673
259	2341	6663
260	2350	6656
261	2359	6645
262	2368	6636
263	2377	6627
264	2385	6617
265	2394	6608
266	2403	6599
267	2412	6590
268	2421	6580
269	2430	6571
270	2440	6563
271	2452	6563
272	2462	6556
273	2471	6548
274	2481	6540
275	2489	6530
276	2498	6521
277	2506	6508
278	2514	6497
279	2522	6486
280	2530	6474
281	2537	6461
282	2545	6449
283	2553	6437
284	2560	6424
285	2568	6411
286	2576	6399
287	2583	6388
288	2591	6376
289	2599	6363
290	2606	6351
291	2614	6338
292	2622	6327
293	2630	6315
294	2639	6307
295	2647	6295
296	2654	6284
297	2662	6272
298	2670	6260
299	2677	6248
300	2685	6236
301	2693	6224
302	2701	6215
303	2710	6206
304	2720	6199
305	2730	6191
306	2739	6183
307	2748	6175
308	2758	6168
309	2768	6161
310	2777	6153
311	2787	6146
312	2796	6137
313	2805	6128
314	2814	6119
315	2825	6116
316	2837	6112
317	2846	6104
318	2855	6096
319	2864	6087
320	2874	6080
321	2883	6072
322	2893	6064
323	2902	6055
324	2911	6047
325	2921	6039
326	2930	6030
327	2939	6021
328	2947	6012
329	2956	6003
330	2966	5995
331	2974	5985
332	2983	5975
333	2990	5963
334	2998	5952
335	3006	5940
336	3015	5933
337	3023	5922
338	3031	5911
339	3039	5900
340	3047	5890
341	3055	5877
342	3062	5866
343	3069	5853
344	3077	5842
345	3085	5831
346	3092	5819
347	3100	5808
348	3107	5797
349	3117	5790
350	3126	5780
351	3135	5771
352	3144	5763
353	3153	5754
354	3162	5746
355	3171	5737
356	3181	5730
357	3193	5726
358	3203	5719
359	3212	5711
360	3221	5702
361	3230	5693
362	3240	5686
363	3250	5678
364	3260	5671
365	3269	5662
366	3278	5655
367	3288	5647
368	3297	5638
369	3306	5630
370	3315	5621
371	3324	5612
372	3333	5603
373	3342	5593
374	3349	5583
375	3357	5571
376	3364	5560
377	3374	5552
378	3381	5541
379	3389	5530
380	3397	5519
381	3405	5509
382	3413	5499
383	3421	5488
384	3429	5478
385	3437	5468
386	3447	5460
387	3456	5452
388	3465	5443
389	3474	5434
390	3481	5423
391	3490	5413
392	3498	5404
393	3507	5395
394	3516	5386
395	3524	5376
396	3532	5365
397	3541	5356
398	3551	5349
399	3559	5339
400	3568	5330
401	3576	5320
402	3585	5311
403	3593	5301
404	3601	5291
405	3610	5282
406	3618	5272
407	3626	5262
408	3634	5251
409	3641	5240
410	3650	5230
411	3657	5219
412	3664	5209
413	3672	5197
414	3679	5186
415	3686	5175
416	3694	5165
417	3702	5155
418	3710	5144
419	3717	5133
420	3725	5123
421	3735	5116
422	3742	5105
423	3750	5095
424	3760	5087
425	3769	5078
426	3776	5068
427	3786	5060
428	3793	5049
429	3801	5039
430	3809	5029
431	3816	5018
432	3824	5008
433	3832	4997
434	3839	4987
435	3847	4976
436	3854	4966
437	3862	4955
438	3869	4945
439	3877	4934
440	3884	4924
441	3891	4913
442	3899	4902
443	3906	4892
444	3914	4882
445	3924	4874
446	3931	4864
447	3939	4853
448	3946	4843
449	3954	4832
450	3961	4822
451	3969	4812
452	3976	4802
453	3984	4791
454	3991	4781
455	3999	4770
456	4006	4760
457	4014	4750
458	4022	4740
459	4029	4730
460	4037	4720
461	4044	4710
462	4052	4699
463	4059	4689
464	4067	4680
465	4075	4669
466	4082	4659
467	4090	4649
468	4097	4639
469	4106	4631
470	4114	4621
471	4122	4611
472	4129	4601
473	4136	4590
474	4144	4580
475	4151	4570
476	4159	4560
